"","X","HES3","LIN28A","L1TD1","S100A6","DPT","VASH2","MTRNR2L11","EPCAM","IL1R1","FAP","COL3A1","FN1","COL6A3","TWIST2","LRRN1","GALNT15","TRIM71","CLEC3B","TDGF1","MTRNR2L12","DPPA4","PTX3","RP11.641D5.1","SOX2","APOD","ADH1B","ZFP42","MTRNR2L2","SEMA6A","LOX","TGFBI","MATR3","SCGB3A2","SMIM3","GABRP","TUBB2B","POU5F1","LAMA4","RPL21P75","SERPINE1","CAV1","PTPRZ1","MTRNR2L6","CEBPD","SNAI2","CALB1","ESRP1","MAL2","HHLA1","WISP1","PTGS1","DKK1","SRGN","MTRNR2L8","SAA1","FABP5P7","CD248","MMP1","MMP3","NNMT","NANOG","EMP1","HOXC10","NTS","DCN","USP44","TMEM119","RGCC","ZIC2","ITGBL1","ABHD12B","OTX2","SNURF","THBS1","RBPMS2","CRABP1","UBE2Q2P6","ANPEP","CLDN6","ZSCAN10","NPIPA7","MT2A","MT1L","MT1E","CDH3","CDH1","CD68","MTRNR2L1","CFD","FUT3","SPINT2","RPL41P1","DNMT3B","CXADR","U2AF1","MIF","GGT5","LGALS1","POLR2F","SLC7A3"
"94","GTEX-1399U-0008-SM-5S2VE",0,0.01,0.86,4553,1.79,0.08,0,0,132.1,38.38,720,12170,1237,136.4,0,26.06,0,55.6,0.07,2.06,0,3055,4.59,0.1,25.66,0.93,0.06,0,0.21,405.4,4883,6.63,0,122.5,0,3.17,0.26,163.7,1.23,5794,1738,0.1,0.14,54.48,273.6,0,0.02,0.02,0,15.06,168.3,1244,397.3,1.44,4.54,0.79,575.6,609.3,314.2,154.5,0,520.2,92.76,0,141.3,0.11,13.62,15.28,0,195.8,0.04,0,0.33,1097,0.19,0.19,0,1093,0.33,0,0.06,11270,1275,1436,0.04,0.01,207.3,0.28,20.6,0,0.17,0,2.78,0.02,0.02,1.71,39.83,7906,0.14,0
"95","GTEX-139D8-0008-SM-5ZZUH",0,0.02,0.69,4739,1.4,0.07,0,0.04,98.78,90.92,1162,23180,1540,100.3,0.02,32.23,0.01,24.5,0,1.5,0,2899,4.84,0.07,15.88,4.83,0.03,0,0.36,554.1,6101,5.01,0,100,0.01,3.95,0.16,361.8,1.28,6270,1486,0.32,0,40.56,185.7,0,0.02,0,0,16.45,41.31,640.4,397.7,1.56,28.96,1.14,493.1,585.4,214.8,168,0.03,335.4,70,0,242.8,0.44,12.04,48.43,0,179.8,0.1,0,1.15,913.6,0.57,0,0.61,858.8,0.11,0.03,0.89,7212,708.2,834.2,0,0.01,159.3,0.1,12.09,0,0.16,2.85,4.72,0.06,1.01,2.95,74.84,7851,0.11,0
"96","GTEX-139T4-0008-SM-5S2WF",0,0.01,0.02,5177,1.59,0.06,0,0.06,135,71.83,2677,23410,1298,105.2,0.07,46.83,0,130.6,0,1.96,0,2660,4.42,0.03,53.49,41.52,0.11,0,0.35,248.7,7274,4.93,0,98.86,0.02,2.27,0.19,453.1,1.31,2295,1527,0.21,0.05,99.17,247.2,0.18,0.02,0.05,0,24.61,84.62,455.4,243.8,1.57,15.21,0,1031,10.39,291.7,287.3,0,312.2,62.02,0,239.1,0.14,101.1,15.17,0,210.4,0.14,0,0.79,485.7,0.3,0.17,0.23,1102,0.06,0,0.33,4343,478.5,803.7,0.05,0.08,174.5,0.07,16.76,0,0.45,2.19,2.84,0.06,1.04,1.94,105.3,7021,0.03,0.03
"97","GTEX-139T8-0008-SM-5ZZUD",0,0.02,0.37,3520,34.66,0.08,0,0.19,314.8,217.5,2308,40710,1095,139.4,0.15,129.5,0.01,186.2,0.02,2.8,0.06,5477,5.01,0.64,201.7,188.4,0.15,0,0.39,359,4320,5.38,0,81.2,0.07,1.84,0.24,365.8,2.26,2505,585.3,0.32,0.14,199.6,169.9,0.17,0.14,0.23,0,178,156.9,747.2,420.5,1.81,36.66,0.24,662.9,2.18,67.69,805.2,0.01,164.1,84.38,0.04,789.3,0.1,172.8,95.68,0.04,552.6,0.08,0.09,1.49,1955,0.37,0.23,1.82,440.8,0.81,0.09,0.56,1637,239.5,414.6,0.3,0.25,169,0.03,271.8,0.07,1.02,1.21,2.27,0.1,1.94,7.19,373.9,5866,0.49,0.11
"98","GTEX-139TS-0008-SM-62LDG",0.22,0.02,0,4493,7.1,0.13,0,0.03,272.4,129.2,1412,26900,978.8,548,0,161.4,0,181.4,0,2.32,0,3053,3.29,0.02,358.9,140.4,0,0,0.7,257.5,1290,5.35,0.07,55.26,0,1.34,0.17,236.1,1.9,1931,906.3,0.02,0.05,190,214.5,0.05,0.01,0.14,0,53.82,150,1241,157.1,1.89,45.52,0.1,417,95.55,55.13,556.4,0,279.1,96.85,0,878.3,1.21,171.1,566,0,123.1,0.32,0,1.07,972.1,0.39,0,0.25,527.8,0.18,0,0.17,2647,321,541.6,0.1,0.08,192.8,0,69.09,0.03,0.24,0.48,3.66,0.01,1.23,4.38,68.2,6778,0.07,0.1
"99","GTEX-139TU-0008-SM-5ZZUK",0,0,3.35,4143,26.29,0.16,0.03,0.29,292.5,200.3,2456,28760,1084,292.5,0,101.5,0,474.7,0,2.15,0,4979,5.15,0.08,278.5,161.6,0,0,0.3,243.2,4247,5.73,0,64.84,0.05,1.74,0.31,381.8,2.22,1928,761.5,0.15,0.07,218.1,259.1,0.11,0.04,0.27,0,151.9,112.9,1371,303.8,1.2,82.05,0.12,698.6,2.69,91.49,630.3,0.01,227,83.93,0,793.7,0.43,269,179.7,0,443,0.17,0,0.53,1831,0.18,0,0.32,537.2,0.17,0.02,0.41,2175,191.1,396,0.33,0.33,195.7,0.43,195,0,1.13,0.59,2.98,0.04,0.85,5.01,204.4,6470,0.35,0
"100","GTEX-139YR-0008-SM-5ZZUM",0,0.03,4.44,3793,364.9,0.23,0.03,0.07,564,208.6,2983,17460,1831,301.1,0,271.8,0.06,211.2,0,1.88,0.02,2781,6.14,0.1,1493,1149,0,0,0.67,232.9,2353,6.64,0,104.3,0,2.47,0.32,403.7,2.84,339.3,434.5,0.05,0,225.1,336.3,0.14,0.12,0.4,0,270.2,101.6,1218,38.28,1.01,106.7,0,738.9,15.92,30.17,597.8,0.01,286.1,85.28,0,1569,0.26,429.4,118.6,0.05,135.1,0.48,0,1.28,487,0.24,0,2.57,634.3,0.22,0.06,0.66,970.8,97.81,278.1,0.29,0.46,326.1,0.03,1179,0.07,0.41,0.52,3,0.1,0.09,2.18,114.4,5118,0.38,0
"101","HPSI1213i-xuja_2",11.9,604.83,258.32,14.05,0,102.85,65.81,341.43,0.53,0,1.24,20.51,0.86,2.42,86.38,0.08,135.25,0.24,309.55,4266.19,857.13,4.39,411.61,161.48,0.7,0,1.45,248.87,137.82,1.11,9.73,706.65,587.83,0.1,495.85,366.63,920.4,1.31,1342.18,6.09,1.81,260.31,93.45,3.13,2.02,470.18,96.56,74.01,267.2,0.02,0.44,0.51,0.08,1056.33,0,82.3,1.11,0,0,0.11,29.7,1,0,64.59,0.58,135.43,0.52,0.1,184.83,0,234.02,12.41,682.79,25.67,100.06,250.36,839.85,0.8,285.57,124.57,154.01,1.69,0,1.18,49.34,69.7,1.2,388.43,0.19,79.35,184.97,4121.46,203.63,102.91,261.46,607.14,0.16,65.76,107.55,89.24
"102","HPSI0614i-voce_2",87.72,719.11,310.15,10.83,0,371.44,77.12,409.34,0.51,0.26,2.93,384.05,3.77,2.5,79.97,0.24,171.81,0.27,901.66,5058.8,817.75,0.19,605.1,152.84,0.42,0.11,120.5,264.4,375.1,2.22,9.42,539.41,10627.1,0,3851.85,549.59,1638.37,2.89,1284.92,5.1,7.45,103.67,123.87,1.59,0.68,1862.68,152.14,78.25,2554.06,0.06,0.33,0.74,0,1318,0,163.87,0.88,0.19,1.26,0.21,294.24,1.25,0,61.1,1.62,83.84,0.36,0.38,160.87,0.15,1867,23.39,708.88,14.14,127.88,268.05,803.61,1.41,532.8,124.65,89.74,27.32,1.63,26.41,102.86,200.15,2.19,489.58,0.61,896.53,206.32,4167.15,319.56,129.4,194.96,727.16,0.24,52.16,80.01,72.76
"103","HPSI0814i-doao_2",48.33,582.86,201.46,16.65,0.02,101.77,178.33,258.84,0.49,0.16,1.27,57.89,0.61,3.09,162.73,0.01,131.92,0.24,536.09,8492.15,657.72,2.31,454.21,160.95,0.07,0.09,19.19,397.36,154.06,1.28,12.1,504.18,1770.83,0.11,970.25,199.13,1198.46,2.68,820.19,2.83,2.07,189.81,105.22,2.55,1.02,654.44,75.95,55.58,530.67,0.02,1.98,0.09,0,1591.06,0,84.96,3.34,0.03,0,0.17,50.72,0.64,0.02,214.03,1.1,113.53,0.63,0.05,302.63,0,471.87,71.03,813.43,13.77,99.93,240.56,1054.5,5.14,427.96,149.76,166.25,7.95,0.3,2.98,83.69,95.34,1.32,804.14,0.44,136.54,255.7,3010.46,256.44,89.09,200.35,915.74,0.12,55.94,87.8,147.81
"104","HPSI0314i-sojd_3",115.94,603.57,314.96,13.78,0,239.26,83.02,261.06,0.53,0,1.06,61.45,0.61,4.21,101.45,0.3,97.37,0.19,456.2,5156.12,739.14,0.27,398.84,144.5,0.13,0.03,96.13,262.16,251.52,0.86,6.31,537.24,2695.38,0,1267.51,357.22,1853.41,2.39,728.88,0.76,4.48,142.43,115.06,1.87,0.49,856.99,113.37,86.5,836.69,0,0.48,0.14,0,1156.53,0,123.64,2.12,0,0.34,0.11,158.8,0.46,0.11,71.61,0.35,77.27,0.05,0.12,243,0.04,738.63,22.17,896.73,5.87,120.75,362.27,1262.28,1.18,691.32,162.28,122,28,1.17,2.8,124.99,160.35,1.04,476.54,0.59,344.87,256.4,3680.09,417.94,70.36,204.21,838.66,0.05,26.34,124.31,73.48
"105","HPSI0114i-lexy_2",35.43,623.28,493.5,16.31,0,110.22,29.97,440.89,0.35,0,0.12,23.18,1.29,2.23,177.01,0.22,98.49,0,864.63,2651.22,598.56,0.93,381.51,183.93,0.23,0.06,136.03,165.35,84.99,1.05,5.92,602.83,2347.93,0,1269.1,355.37,1568.2,1.14,912.88,10.31,15.88,107.44,57.49,1.58,0.43,950.71,107.76,107.48,740.97,0.06,0.5,0.12,0,640.26,0,207.29,2.34,0,0,0.12,112.58,0.29,0,210.59,1.01,132.97,0.25,0.44,137.81,0.03,624.69,73.53,1026.05,16.15,149.24,388.73,597.41,0.62,596.99,178.8,124.45,5.48,0.16,4.1,81.62,112.82,1.47,240.64,0.82,274.94,236.53,3427.13,564.11,78.98,255.76,823.05,0.09,16.35,136.14,134.61
"106","HPSI1013i-jufd_2",119.38,650.6,214.8,13.15,0,480.7,68.39,269.85,0.26,0.24,0.66,87.58,2.07,4.7,87.88,0.12,128.74,0.58,755.58,3876.5,850.86,0.23,365.91,168.52,0.19,0.26,126.18,218.42,258.44,1.02,4.82,560.83,5865.59,0,2867.36,637.94,2076.83,1.71,815.28,0.73,11.39,123.08,86.87,1.63,0.3,1972.81,135.95,84.31,1736.84,0,0.34,0.08,0,893.4,0,152.29,1.72,0,0.4,0,201.97,0.78,0,35.27,0.53,72.74,0.42,0.07,203.98,0.09,1505.09,15.98,949.29,15.86,121.06,648,764.44,1.21,608.72,201.4,146.12,33.58,1.52,28.11,122.03,178.52,2.16,372.57,1.17,659.29,234.33,2920.9,442.04,74.32,217.63,944.35,0.21,59.73,120.94,72.35
"107","HPSI0215i-deyz_3",30.43,788.49,224.17,26.13,0,201.77,103.9,531.56,0.49,0,0.1,38.95,2.23,2.92,89.75,0.34,170.67,0.08,531.64,9117.66,948.79,1.28,391.42,169.28,0,0.11,87.53,380.1,250.82,2.09,13.64,769.68,6539.7,0,3051.03,451.17,924.89,2.84,1186.91,9.98,8.18,131.53,200.18,3.96,1.44,2031.14,145.17,142.05,1832.39,0.03,0.36,0.61,0,2298.08,0,166.1,0.99,0.11,0.32,0.16,68.37,1.26,0.05,46.64,1.05,166.23,0.35,0.18,73.81,0.14,1334.11,13.63,704.63,13.56,135.89,137.25,1365.01,1.61,361.49,88.23,80.58,31.51,2.98,39.8,73.73,104.93,2.03,775.29,0.93,606.24,200.73,3650.23,365.8,110.21,259.18,448.37,0.16,69.99,105.13,137.22
"108","HPSI0514i-sohd_2",136.32,1035.66,350.39,20.71,0,70.27,71.31,312.43,0.84,0.08,1.67,68.61,1.23,1.04,157.8,0.29,230.18,0.05,539.84,5402.63,606.73,1.57,357.62,287.07,0.04,0.08,164.02,282.9,301.72,2.59,7.69,739.14,1915.91,0,911.33,291.86,853.08,1.17,1739.24,4.88,4.15,112.18,71.78,1.77,0.6,640.45,117.55,128.93,474.15,0,1.89,0.56,0.15,1537.56,0.07,97.47,1.71,0.02,0.62,0.61,55.16,0.79,0,11.68,1.59,176.48,0.55,0.36,242.01,0.21,310.19,152.98,963.65,31.55,141.27,183.02,1610.75,1.92,502.27,111.57,154.85,1.58,0.16,0.32,102.84,196,1.34,475.68,0.74,184.39,184.52,4870.78,532.26,120.34,241.46,589.6,0.3,57.28,72.09,101.12
"109","HPSI0714i-kute_4",191.42,765.97,317.67,11.9,0,152.92,99.45,299.27,0.34,0.15,3.96,113.42,1.4,3.24,118.06,0.11,141.12,0.22,492.43,7348.27,882.14,0.37,509.64,221.8,0.18,0.06,86.99,390.04,269.36,2.4,7.63,651.36,5540.57,0.08,1988.7,351.68,1352.59,2.26,1558.89,0.78,4.07,158.19,160.16,1.51,1.66,929.66,143.12,114.41,1181.58,0,0.58,0.6,0.07,1934.41,0,115.68,0.92,0,0.26,0.19,182.81,0.83,0,69.64,1.34,102.24,0.24,0.12,248.21,0.14,989.47,48.21,726.14,5.25,91.62,322.22,1672.87,0.72,522.52,111.35,89.35,27.79,3.72,8.85,106.73,192.82,1.38,603.14,0.47,377.13,180.89,4423.76,341.64,110.99,209.1,537.19,0.1,30.05,77.34,33.07
"110","HPSI0115i-payf_1",44.29,672.16,451.82,15.83,0,86.63,117.23,409.72,0.3,0.09,0.83,50.16,1.44,0.11,252.83,0.1,93.16,0,1012.54,8814.6,513.49,1.71,303.03,264.49,0.05,0.1,130.03,398.36,163.54,1.06,12.1,750.83,1091.21,0.08,570.96,247.46,954.04,1.16,771.94,2.03,3.89,248.86,111.74,1.65,0.19,317.44,125.77,137.41,338.68,0,0.61,0.96,0.08,2150.29,0.08,136.99,2.43,0.04,0.26,0.19,74.6,0.36,0,80.1,1.05,164.14,0.6,0.18,191.06,0.23,197.39,76.61,1201.69,16.89,120.39,216.57,1178.81,2.62,774.41,125.12,103.74,1.47,0,0.26,128.71,190.28,1.41,866.23,0.53,107.03,247.59,3136.35,389.25,145.88,251.13,529.35,0.1,30.01,89.15,164.24
"111","HPSI0115i-tiku_1",60.37,986.99,389.99,26.8,0,72.38,66.59,325.3,0.31,0,0.04,41.18,1.24,1.32,208.03,0.19,145.84,0.1,708.44,5276.64,554.7,0.84,253.51,261.52,0.15,0.1,153.57,262.2,129.12,1.15,4.23,764.51,4928.9,0,2009.68,425.85,1303.18,1.64,1105.54,2.81,23.96,48.21,61.87,1.42,0.16,1156.03,124.43,116.29,1246.65,0,0.73,0.35,0.18,1369.06,0.06,186.64,0.63,0.04,0.3,0.16,65.25,0.22,0,70,1.22,144.62,0.59,0.77,185.06,0.16,982.94,158.97,1143.32,14.65,171.41,240.59,672.67,1.4,612.53,136.29,100.97,1.62,0.14,0.47,100.3,183.72,1,511.15,0.7,439.73,181.93,3963.73,665.49,124.53,244.76,620.52,0.18,21.87,103.59,166.73
"112","HPSI0115i-aoxv_3",151.88,908.83,193.18,20.18,0,38.16,105.77,248.1,0.29,0.06,0.41,36.05,1.05,0.93,110.47,0.08,95.69,0.15,336.41,7487.53,460.37,1.16,595.31,394.77,0.13,0.14,121.22,378.81,140.34,0.68,11.16,598.54,2206.47,0,1102.05,282.73,731.3,0.77,1063.48,1.09,3.93,90.71,173.47,2.17,0.4,633.16,118.35,114.86,691.53,0,1.28,2.93,0.2,1917.24,0.06,152.5,1.28,0.02,0.02,0.17,68.67,0.61,0,10.06,1.38,139.47,0.72,0.32,192.24,0.07,408.82,230.26,981.18,21.02,100.04,320.71,1046.54,3.09,501.53,82.29,106.72,5.3,0.21,5.17,74.63,117.9,1.33,747.53,0.9,229.48,182.15,4577.2,359.47,92.53,218.51,745.75,0.09,65.06,98.16,76.94
"113","HPSI0314i-bipt_1",37.02,801.94,278.65,60.27,0,166.93,73.19,324.2,0.63,0.04,12.07,194.55,1.29,1.43,146.88,0.14,191.4,0.47,547.37,4439.98,713.1,3.3,400.83,196.64,0.07,0.04,94.01,226.03,222.8,12.85,22.35,682.78,947.47,0,656.45,548.6,1531.31,1.71,1465.39,30.24,16.53,130.31,108.13,1.64,3.24,610.43,110.73,136.57,340.32,0.04,0.8,0.18,0.26,1186.13,0,171.02,3.07,0.06,0.02,7.44,54.23,1.85,0,83,0.88,134.29,0.51,0.23,101.04,0.18,270.36,37.3,832.88,22.52,122.61,259.23,1537.38,2.42,439.51,125.9,127.13,5.53,0.53,1.12,110.54,111.44,1.11,435.7,0.73,167.45,208.23,4523.01,399.76,87.49,233.55,569.24,0.19,71.99,121.43,189.58
"114","HPSI0115i-aoxv_1",180.48,975.34,210.53,19.66,0,46.31,109.06,255.47,0.34,0.14,0.41,29.67,0.96,1.27,105.4,0.19,110.12,0.13,332.81,7078.07,548.65,0.58,576.62,352.7,0.3,0.07,122.83,342.47,177.24,0.45,8.57,555.74,3415.66,0,1576.99,278.11,784.22,1.01,1080.46,1.45,5.09,71.32,173.12,2.48,0.2,884.37,132.48,114.29,1049.4,0,1.24,1.27,0.06,1822.15,0.06,146.02,1.4,0,0.02,0.23,83.69,0.43,0,6.32,0.75,144.31,0.83,0.36,201.01,0.05,673.58,189.94,1007.46,22.16,107.12,330.43,989.26,3.34,533.11,90.78,107.72,10.6,0.47,12.82,76.57,149.89,1.38,719.44,1.33,318.68,201.69,4036.89,413.19,90.25,221.87,659.48,0.16,61.86,92.86,87.38
"115","HPSI0114i-oevr_3",27.17,513.19,257.48,26.84,0,181.06,53.24,342.68,0.75,0,0.38,26.44,1.32,2.53,80.08,0.05,89.97,0.06,307.86,3020.18,714.36,3.39,465.92,198.48,0.19,0.02,94.12,177.44,88.01,2.11,12.03,661.99,253.45,0.21,190.75,341.83,1075.09,1.57,1707.45,2.27,4.97,197.15,53.16,1.85,1.19,234.76,113.97,101.17,110.06,0.01,0.84,0.36,0,900.54,0,88.8,1.88,0,0,0.2,52.84,0.77,0,354.98,0.78,182.72,0.81,0.3,202.7,0.14,89.46,24.75,589.53,4.82,73.46,470.15,849.32,4.15,336.28,128.69,141.09,0.58,0,0,84.83,108.71,0.64,319.94,0.29,41.37,194.66,5689.67,251.99,90.66,217.74,800.52,0.2,91.75,94.27,63.46
"116","HPSI1113i-ieki_3",68.3,718.49,218.02,33.03,0.02,106.96,114.43,221.86,0.53,0.2,12.76,90.79,2.98,1.39,90.53,0.33,135.13,0.14,371.21,7122.15,612.72,10.83,370.52,200.44,0.24,0.12,123.52,386.3,215.86,2.22,26.58,541.65,1326.52,0,750.49,423.81,912.09,2.51,792.82,9.83,5.1,112.51,119.09,2.04,2.59,712.75,93.53,82.96,446.65,0.27,1.15,1.16,0.2,1595.08,0.37,86.75,1.65,0.16,0.24,1.46,54.45,1.29,0,81.12,11.21,105.52,1.18,1.56,182.75,0.19,310.8,61.47,777.77,34.13,112.05,212.32,703.5,2.01,506.94,135.83,109.01,4.88,0.49,2.85,94.92,146.23,1.73,703.16,1.28,196.61,224.52,2979.83,421.91,79.67,223.03,753.49,0.08,109.39,96.74,116.72
"117","HPSI1114i-xiby_5",21.78,564.7,238.81,36.5,0,75.02,93.57,432.52,0.68,0.62,7.53,535.53,12.51,2.35,206.25,0.15,98.52,0.08,788.45,7297.48,445.84,2.71,284.13,123.92,0.38,0.16,75.84,440.99,155.46,6.98,67.24,523.99,1511.15,0.16,829.28,266.9,868.98,3.09,705.54,92.98,31.52,215.58,163.94,1.89,2.05,473.94,99.55,91.76,396.86,0,0.64,1.33,0,1943.37,0.07,133.14,2.8,0.62,0.52,2.94,94.38,4.95,0,34.3,1.29,125.88,0.81,0.19,167.07,0.7,269.53,39.7,611.37,80.01,120.77,177.03,895.26,2.16,843.46,129.66,120.66,3.66,0.38,0.61,166.29,291.01,1.54,687.62,0.87,179.73,278.3,2759.69,345.57,177.39,169,416.6,0.22,76.43,71.36,163.35
"118","HPSI0914i-suop_2",100.41,1068.41,379.69,17.67,0,90.9,62.42,325.14,0.57,0.33,1.88,64.72,2.74,1.27,195.34,0.11,172.63,0.29,721.7,4803.54,658.57,1.61,564.52,301.01,0.16,0.07,151.68,256.37,176.85,2.65,8.65,835.01,6699.95,0,2650.57,452.37,867.93,1.61,1415.08,2.21,11,125.58,66.51,1.1,0.52,1533.35,158.7,127.93,1688.74,0.08,1.13,0.52,0,1253,0,123.35,1.38,0.02,1.34,0.26,41.98,0.68,0,119.95,2.63,166.08,0.57,0.13,169.14,0.17,1034.76,126.27,930.34,16.32,120.13,160.36,0.81,1.88,571.3,123.08,125.08,1.64,0,1.5,114.29,202.27,1.17,421.54,1.48,579.28,184.24,4586.24,519.24,130.51,223.44,586.57,0.22,34.63,83.73,105.58
"119","HPSI0514i-naah_2",85.87,930.18,344.16,21.83,0,95.9,58.41,368.33,0.6,0.44,34.82,242.64,16.35,0.77,170.32,0.09,150.02,0.06,399.39,5545.03,542.94,1.67,388.31,340.03,0.28,0.09,165.12,274.26,158.1,5.4,36.21,868.34,2424.57,0.37,1003.42,350.06,814.58,2.67,1011.64,7.66,6.63,128.27,108.86,1.93,1.97,739.27,142.78,136.51,618.65,0.22,1.61,3.25,0,1486.04,0.11,71.78,2.48,0.02,0.02,4.45,31.9,6.14,0.27,69.11,8.83,179.81,0.46,0.59,205.77,1.94,428.33,161.34,906.01,20.34,114.08,146.72,720.76,1.97,548.35,113.3,154.35,2.43,0,1.06,91.52,186.21,1.25,429.37,0.24,239.56,173.52,4656.13,512.6,130.81,260.64,524.25,0.21,50.22,80.68,106.31
"120","HPSI0114i-eipl_1",202.33,751.39,261.42,23.19,0.03,185.48,99.08,293.83,1.08,1.25,14.48,184.56,5.86,5.03,115.78,0.07,184.16,0.29,444.82,5865.75,844.62,3.94,363.28,238.7,1.32,0.07,42.88,279.28,313.24,2.55,18.65,581.98,3880.3,0,1822.93,402.7,1073.73,4.47,1393.96,3.5,6.04,193.09,148.17,2.1,2.08,1125.96,90.7,77.57,992.3,0.01,1.24,1.48,0.06,1514.02,0,122.13,1.3,0.12,1.82,0.52,124.55,3.43,0,43.82,6.2,103.17,0.52,0.8,188.47,0.2,1000.62,70.62,725.6,14,100.47,397.88,1584.25,1.62,487.14,123.46,153.88,6.11,0.94,5.71,83.35,155.07,1.55,567.44,0.42,330.34,176.28,4448.78,347.95,87.15,205.79,585.14,0.23,59.78,90.52,49.41
"121","HPSI0614i-liqa_1",115.59,935.36,355.35,38.35,0,145.33,92.06,403.83,0.39,0.37,4.84,144.7,2.15,1.6,118.09,0.14,127.32,0.09,569.51,5446.97,590.62,2.31,920.41,380.7,0.41,0.17,115.68,248.98,150.04,2.2,26.79,633.16,3068.66,0.08,1465.1,434.02,1008.94,1.86,849.83,3.4,6.87,147.61,146.7,2.66,1.05,830.72,166.78,96.37,1331.95,0.08,0.64,2.25,0.16,1480.54,0.14,118.51,2,0.04,0.06,0.84,40.89,1.78,0.07,31.92,2.99,134.7,1.14,0.77,202.05,0.06,620.15,140.56,824.57,9.41,139.5,257.48,909.25,2.85,596.42,122.46,172.31,2.52,0,1.01,104.33,115.83,2.08,570.31,1.52,223.87,181.14,3155.24,415.67,85.15,301.43,866.75,0.17,124.1,120.51,60.88
"122","HPSI0514i-oupf_6",100.49,993.13,296.44,31.88,0.02,139.75,89.54,359.79,0.5,1.71,24.11,165.05,16.35,1.26,168.79,0.12,188.31,0.29,607.53,6185.95,657.05,1.38,512.58,270.45,0.27,0.06,136.73,291.83,226.2,6.99,25.89,796.51,3016.12,0,1375.68,345.24,803.05,2.23,1188.25,10.84,10.21,129.08,90.54,1.25,1.43,896.79,154.58,137.2,859.61,0.06,1.34,0.43,0.07,1539.42,0.22,122.86,2.01,1.29,0.32,2.46,64.7,2.9,0,23.43,25.71,150.81,0.75,0.24,191.13,3.42,501.58,130.59,915.08,33.95,138.18,146.08,741.08,2.74,502.63,114.6,134.63,12.45,0.13,9.68,102.79,176.56,1.77,622.78,0.61,211.88,176.25,3915.35,424.24,109.83,233.37,569.79,0.15,81.17,87.41,98.98
"123","HPSI0714i-oatm_1",88.68,932.58,304.48,22.28,0,88.31,58.57,399.77,0.74,0.45,2.96,77.9,3.15,0.98,164.2,0.18,135.62,0.19,483.69,4492.05,528.89,1.81,280.12,248.28,0.39,0.1,129.93,236.84,186.89,2.04,18.19,768.1,1400.72,0,737.3,305.93,841.21,1.53,1183.66,3.99,5.48,145.98,53.09,1.25,1.34,563.07,139.4,113.9,459.99,0.05,0.49,0.82,0.08,1047.54,0,166.8,1.87,0.11,0.3,0.66,61.15,2.19,0,78.16,1.85,141.46,0.89,0.13,154.9,0.33,284.78,116.92,898.87,20.11,136.77,164.14,885.41,1.43,537.62,122.98,107.53,3.22,0,2.58,96.6,151.11,1.12,409.67,0.85,127.41,168.22,3568.09,188.8,102.56,268.58,568.03,0.19,72.56,100.33,129.59
"124","HPSI0115i-hecn_3",12.41,236.12,360.13,48.47,0,20.34,230.88,52.97,0.18,0.16,0.64,34.8,3.86,0.32,20.76,0.28,33.16,0.14,166.19,16314.6,135.39,0.26,471.59,200.74,0.87,0.31,15.39,1053.36,57.55,0.26,14.77,65.86,695.68,0,490.52,68.17,414.06,4.69,69.54,2.66,5.07,46.33,374.95,0.69,0.48,232.76,13.82,11.58,1170.91,0,0.08,0,0,4731.72,0.05,0.19,1.47,0.16,0,1.9,9.91,0.99,0,25.51,7.11,74.29,1.95,0.03,32.42,0.45,581.52,18.3,280.76,2.33,36.22,171.6,303.35,1.14,233.74,52.45,56.29,3.85,0,1.27,36.88,34.97,1.27,1487.09,0.17,83.02,41.92,86.31,101.51,32.2,115.33,514.7,0.2,53.45,41.71,23.23
"125","HPSI0514i-xayd_5",60.95,701.39,76.94,25.04,0,45.53,43,162.78,0.49,0.12,1.95,29.71,0.62,1.01,80.05,0.1,34.46,0,370.14,2975.87,489.68,3.92,548.84,240.81,0.08,0.08,127.96,158.65,82.79,1.34,12.95,564.23,360.8,0,175.38,211.13,514.85,0.53,2141.92,1.67,2.44,74.99,68.36,0.82,2.16,194.34,57.27,77.24,109.93,0.02,0.96,33.67,0.14,741.26,0.05,207.96,0.96,0.05,0.18,0.55,45.86,0.37,0.19,34.23,1.64,103.75,0.6,0.37,122.86,0.15,114.31,257.18,994.04,11.34,57.13,273.8,3.58,2.02,317.04,43.3,55.33,0.94,0.17,0.28,32.66,44.95,1.28,284.78,0.78,38.57,132.03,6715.27,132.83,99.38,157.21,971.84,0.08,89.87,119.68,49.11
"126","HPSI1213i-pahc_4",20.61,533.69,245.71,20.34,0,117.55,106.25,260.79,0.34,0,0.22,17.93,0.73,1.69,88.24,0.14,103.98,0.19,414.05,6015.89,838.95,2.23,499.18,154.49,0.31,0.08,49.28,307.04,108.49,1.29,13.24,575.65,664.94,0,477.34,299.88,1255.24,1.21,1076.47,0.84,1.85,249.94,110,1.48,1.25,517.37,110.4,81.5,268.02,0.05,0.69,0.3,0.06,1820.11,0.07,39.71,1.19,0.02,0,0.26,49.6,0.51,0,30.98,0.87,135.66,1.41,0.08,243.38,0.03,203.74,24.83,752.79,5.64,83.05,318.89,2.6,2.95,391.54,152.52,156.28,1.49,0.13,0.98,82.8,106.72,1.55,697.2,0.85,99.2,271.8,3337.59,235.43,69.45,216.74,843.32,0.34,81.75,97.52,87.62
