"","X","HES3","LIN28A","L1TD1","S100A6","DPT","VASH2","MTRNR2L11","EPCAM","IL1R1","FAP","COL3A1","FN1","COL6A3","TWIST2","LRRN1","GALNT15","TRIM71","CLEC3B","TDGF1","MTRNR2L12","DPPA4","PTX3","RP11.641D5.1","SOX2","APOD","ADH1B","ZFP42","MTRNR2L2","SEMA6A","LOX","TGFBI","MATR3","SCGB3A2","SMIM3","GABRP","TUBB2B","POU5F1","LAMA4","RPL21P75","SERPINE1","CAV1","PTPRZ1","MTRNR2L6","CEBPD","SNAI2","CALB1","ESRP1","MAL2","HHLA1","WISP1","PTGS1","DKK1","SRGN","MTRNR2L8","SAA1","FABP5P7","CD248","MMP1","MMP3","NNMT","NANOG","EMP1","HOXC10","NTS","DCN","USP44","TMEM119","RGCC","ZIC2","ITGBL1","ABHD12B","OTX2","SNURF","THBS1","RBPMS2","CRABP1","UBE2Q2P6","ANPEP","CLDN6","ZSCAN10","NPIPA7","MT2A","MT1L","MT1E","CDH3","CDH1","CD68","MTRNR2L1","CFD","FUT3","SPINT2","RPL41P1","DNMT3B","CXADR","U2AF1","MIF","GGT5","LGALS1","POLR2F","SLC7A3"
"11","GTEX-11DXW-0008-SM-5Q59V",0,0,0.48,3094,184.1,0.1,0.04,0.42,306.9,156.1,3545,34300,873.1,383.5,0.13,57.03,0.01,178.8,0,2.46,0.07,8494,3.81,0.05,266.3,133.4,0,0,0.13,479.6,3230,5.4,0.06,109.2,0.13,0.62,0.25,332.4,0.92,5316,561.9,0,0.08,166.6,135.3,0.04,0.08,0.26,0,207.5,199.8,758.5,215.2,2.26,774.8,0.3,717.8,4.98,21.06,791.5,0.02,390.6,73.47,0,580.7,0.86,474.5,384.3,0.05,357.9,0.2,0,1.16,3536,0.2,0,0.66,625.8,0,0.02,0.3,2521,140.8,454.5,0.44,0.22,140.6,0.08,283.1,0,2.17,0,2.58,0.07,0.63,3.84,349.5,5528,0.23,0
"12","GTEX-11DXX-0008-SM-5Q5B8",0,0,0.73,4619,7.81,0.08,0,0.26,242.6,92.46,2976,21600,1031,617,0,197.6,0.02,115,0,1.82,0.01,2004,5.61,0,94.27,46.83,0,0,0.28,360.5,4852,5.23,0,52.4,0.01,2.25,0.22,202.4,1.05,2977,959.8,0.03,0.03,280.9,210.5,0.09,0,0.12,0,94.21,174.2,1334,172.4,1.49,187.5,0.97,505.5,20.1,108.6,617.7,0,326.5,89.55,0.04,441.8,0.09,169.5,232.2,0.1,263,0.08,0,1.08,1911,0.56,0,0.75,706.2,0.26,0,0.28,6847,599.6,1707,0.06,0.08,136.3,0.03,45.23,0,0.56,0,2.75,0.07,1.61,0.93,190.2,6467,0.11,0
"13","GTEX-11DXY-0008-SM-5QGR4",0,0,0.02,3572,840.9,0.02,0,0.27,158.7,250.1,2640,36810,815.3,327.1,0,64.45,0,50.26,0,1.24,0,3275,3.92,0.03,273.4,109.8,0,0,0.23,476.3,965.6,5.52,0,75.32,0.01,2.52,0.49,205.5,1.74,3133,849.7,0.07,0.03,173.6,165.2,0.07,0.15,0.34,0,207.9,80.08,1388,148.3,1.36,692.9,0.32,388.3,76.03,12.79,617.4,0.03,399.5,72.52,0,727.2,0.44,525.9,1290,0.03,551.3,0.06,0,0.84,3380,0.52,0,0.29,491.4,0.1,0,0.34,2946,155.2,438.2,0.08,0.19,128.1,0.42,226.2,0,2.17,0,2.64,0.06,0.66,1.65,78.71,5861,0.17,0
"14","GTEX-11DYG-0008-SM-5QGR5",0,0,1.65,3809,785.1,0.21,0,0.09,281.5,210.2,2617,38440,913.9,243,0.01,93.91,0.05,284.3,0,1.54,0,4024,2.26,0,539,256.6,0.06,0,0.13,445,3440,5.7,0.05,123.5,0.02,3.27,0.28,222.9,1.65,3351,737.1,0.02,0.1,211.4,192.8,0,0.06,0.2,0,139.5,131.2,1112,229.3,1.76,167.3,0.12,843.5,3.14,3.78,972.8,0.02,360.5,83.19,0,1024,0.32,667.1,498.9,0,685.6,0.2,0,1.35,3938,0.14,0,0.64,604.4,0.14,0,0.03,1517,88.1,323.2,0.24,0.19,166.9,0.1,456.5,0,3.11,1.21,1.92,0.07,0.38,3.36,236.1,5961,0.19,0
"15","GTEX-11DZ1-0008-SM-5QGR3",0,0,0.11,3945,97.06,0.03,0,0.24,210.9,185.6,2120,31370,945,495.6,0.03,176.1,0,63.61,0.06,2.18,0,2408,4.06,0,278.5,28.25,0.05,1.59,0.37,497.8,2272,5.13,0,78.43,0.09,2.74,0.37,272.2,1.49,4366,670.5,0.02,0.1,203.8,179.1,0.04,0.18,0.99,0,157.9,151.5,1082,178.2,1.67,523,0,549.7,123.8,86.67,803.1,0,363.1,84.31,0,948.3,0.49,335.9,1006,0,436.3,0.25,0,1.54,4415,0.07,0,0.3,780.1,0.24,0,0.49,4142,378.3,812.6,0.38,0.43,199.2,0.1,172.4,0.05,1.69,0.86,2.54,0.08,2.1,3.94,265.6,6346,0.37,0
"16","GTEX-11EI6-0008-SM-5QGR7",0,0,0.11,2697,444.1,0.06,0,0,182,181.1,3205,26950,642.3,183.6,0.03,34.74,0.47,267.2,0,2.08,0,7104,1.83,0,358.4,60.25,0,0,0.15,560.1,1016,5.09,0,108.7,0,4.23,0.21,181.3,0.63,3946,688.2,0.08,0.05,158.1,129.1,0,0.06,0.08,0,117.9,153.2,881.3,260.5,1.15,302.5,0.17,884.1,3.12,5.05,708.7,0.01,457.8,73.88,0,616.8,0.07,625,241.3,0,596.3,0.17,0,0,5387,0.39,0,0.75,722.1,0.16,0,0.1,1752,69.8,299.2,0.05,0.01,125.5,0.24,634.3,0,2.37,0,2.43,0.02,0.86,6.31,361.4,4878,0.21,0
"17","GTEX-11EMC-0008-SM-5Q5DR",0,0,0.9,4293,9.55,0.15,0,0.1,344.1,136.8,2643,23270,1028,610.4,0,215.6,0.01,108.9,0,1.28,0,2544,5.67,0.04,107.3,108,0,0,0.22,331.5,6175,5.88,0.09,62.27,0,1.03,0.44,285.9,1,1947,838.8,0.01,0,268.7,215.5,0.06,0.04,0.07,0,188.4,173.7,1152,96.08,2.57,116.1,0.57,624.2,183.6,456.4,774.1,0.02,305,91.71,0.08,821.5,0.56,257.6,396,0.03,213.8,0.14,0,1.16,1312,0.35,0,0.71,663.6,0.08,0.03,0.5,6432,506.4,785.2,0.03,0.07,171.1,0.06,86.46,0,0.75,0,2.93,0.01,0.48,8.7,106.4,5941,0.27,0.04
"18","GTEX-11EQ8-0008-SM-5Q5DJ",0.13,0.01,0,3766,302,0.1,0,0.23,257.8,212.2,2609,41130,916.2,187.5,0.02,65.19,0,161.9,0,3.5,0,3696,6.92,0.11,317.9,57,0,0,0.16,501.4,3309,5.24,0,97.5,0,0.94,0.08,180.8,0.68,4729,678.5,0.04,0.03,227.8,232.3,0.03,0.1,0.18,0,177.6,114.8,654.5,295,1.81,187.4,0.33,785.8,1.92,27.09,845.2,0,344.9,82.79,0.25,894.5,0.08,553,245.1,0.01,911.4,0.12,0.03,0.37,4374,0.34,0.21,0,595.1,0.1,0,0.35,2186,170.6,483.1,0.11,0.13,154.2,0.7,351.2,0.18,1.67,1.09,1.63,0,0.02,2.62,279.9,6470,0.2,0.06
"19","GTEX-11EQ9-0008-SM-5Q5DK",0,0.01,0.25,5293,476,0.06,0.04,0.05,161.8,104.4,2504,11940,396.5,498,0,62.54,0,43.26,0,2.52,0,4154,16.49,0.02,258.4,140,0,0,0.07,227.8,1903,7.3,0.05,76.59,0,1.28,0.05,117.6,2.57,1384,388.9,0.03,0.12,345.4,174.5,0.05,0.01,0.12,0,65.33,90.76,844.3,153.1,1.12,451.7,0.34,259.3,4.57,10.81,948.8,0,161.2,83.83,0.04,912.8,0.15,228.1,611.3,0,107.4,0.09,0.03,0.23,1331,0.53,0.13,0,271.4,0.33,0.02,1.79,2377,129.6,521,0.02,0.07,77.15,0.08,221.2,0.02,0.91,2.75,1.38,0.02,0.35,0.26,100.7,7095,0.2,0.02
"20","GTEX-11GS4-0008-SM-5QGRA",0,0.01,0,3415,29.56,0.12,0,0.05,213.3,193.6,1763,38410,830.7,138.2,0,36.61,0,396.6,0,2,0,5719,4.97,0.09,274,97.07,0,1.3,0.23,240,2623,5.6,0.05,73.58,0,1.71,0.39,304.3,1.05,4948,913.5,0.23,0.08,203.6,246.5,0.07,0.02,0.04,0,48.44,183.1,1185,593,1.68,11.82,0,891.9,29.48,8.88,725.3,0.02,261.8,104.3,0,483.3,0.04,315,113.2,0,868.5,0.14,0,0.78,4619,0.11,0,0.5,585.6,0.07,0,0.2,3444,240.9,591.4,0,0.13,161.5,0.12,193.5,0,3.52,0,2.41,0,1,5.1,495.7,5560,0.09,0.05
