"","X","HES3","LIN28A","L1TD1","CA14","F11R","VASH2","MTRNR2L11","MYCN","EPCAM","ADD2","H3F3AP4","LRRN1","TRIM71","TDGF1","MTRNR2L12","DPPA4","RP11.641D5.1","SOX2","ZFP42","ADCY2","SERF1B","MTRNR2L2","SEMA6A","MATR3","PCDH1","SCGB3A2","GABRP","RP11.423H2.1","TUBB2B","GCNT2","POU5F1","LIN28B","PKIB","RPL21P75","PTPRZ1","MTRNR2L6","CNTNAP2","IDO1","TPD52","CALB1","ESRP1","MAL2","FAM84B","HHLA1","FOXH1","CTSV","NR6A1","AIF1L","FGFR2","MTRNR2L8","FABP5P7","FGF23","NANOG","DDX47","KRT8","PMEL","NTS","USP44","CLDN10","ZIC2","ABHD12B","OTX2","VRTN","SNURF","GABRB3","SPINT1","MYEF2","RBPMS2","CRABP1","UBE2Q2P6","CLDN6","ZSCAN10","MTRNR2L4","NPIPA7","PRSS8","CDH3","CDH1","MTRNR2L1","RND2","DSG2","FUT3","AP1M2","SPINT2","CYP2S1","NLRP2","RPL41P1","DNMT3B","WFDC2","SALL4","CXADR","CBS","U2AF1","CECR2","MIF","POLR2F","RP11.706O15.1","MAGED4B","MTRNR2L10","SLC7A3","ZIC3"
"11","GTEX-11DXW-0008-SM-5Q59V",0,0,0.48,0.05,0.99,0.1,0.04,0,0.42,0.01,8.33,0.13,0.01,0,2.46,0.07,3.81,0.05,0,0.03,0.31,0,0.13,5.4,0.31,0.06,0.13,0,0.62,0,0.25,0,0.28,0.92,0,0.08,0.02,0.02,0.31,0.04,0.08,0.26,0.24,0,0.21,0.59,0.2,0.24,0.08,2.26,0.3,0,0.02,0.25,2.94,0.48,0,0.86,0.16,0.05,0.2,0,0.02,1.16,0.37,0.71,0.24,0.2,0,0.66,0,0.02,0.17,0.3,0.24,0.44,0.22,0.08,0.64,0.6,0,0.19,2.17,0.5,0.02,0,2.58,0.39,0.52,0.07,0.32,0.63,0.03,3.84,0.23,2.63,0.12,0.16,0,0
"12","GTEX-11DXX-0008-SM-5Q5B8",0,0,0.73,0.1,1.06,0.08,0,0,0.26,0.01,9.52,0,0.02,0,1.82,0.01,5.61,0,0,0.06,0.59,0,0.28,5.23,0.14,0,0.01,0,2.25,0.01,0.22,0,0.03,1.05,0.03,0.03,0.01,0,0.08,0.09,0,0.12,0.45,0,0.14,0.56,0.19,0.14,0.06,1.49,0.97,0,0,0.81,3.34,0.81,0.04,0.09,0.11,0.1,0.08,0,0.01,1.08,0.25,0.35,0.3,0.56,0,0.75,0.26,0,0.11,0.28,0.19,0.06,0.08,0.03,0.52,0.4,0,0.05,0.56,0.56,0.03,0,2.75,0.39,0.17,0.07,4.47,1.61,0.01,0.93,0.11,0.16,0.06,0.22,0,0.02
"13","GTEX-11DXY-0008-SM-5QGR4",0,0,0.02,0.11,0.76,0.02,0,0,0.27,0,8.78,0,0,0,1.24,0,3.92,0.03,0,0.02,0.42,0,0.23,5.52,0.38,0,0.01,0,2.52,0.01,0.49,0,0.15,1.74,0.07,0.03,0,0,0.11,0.07,0.15,0.34,0.74,0,0.1,0.54,0.29,0.08,0.13,1.36,0.32,0,0.03,0.63,1.05,0.38,0,0.44,0.17,0.03,0.06,0,0,0.84,0.1,0.23,0.92,0.52,0,0.29,0.1,0,0,0.34,0.63,0.08,0.19,0.42,0.36,0.15,0,0.1,2.17,0.09,0,0,2.64,0,0.03,0.06,3.01,0.66,0,1.65,0.17,1.65,0.07,0.14,0,0
"14","GTEX-11DYG-0008-SM-5QGR5",0,0,1.65,0.1,0.99,0.21,0,0,0.09,0,2.14,0.01,0.05,0,1.54,0,2.26,0,0.06,0,0.55,0,0.13,5.7,0.22,0.05,0.02,0,3.27,0.02,0.28,0,0.21,1.65,0.02,0.1,0.06,0,0.34,0,0.06,0.2,0.3,0,0.29,1.25,0.21,0.13,0,1.76,0.12,0,0.02,0.71,2.81,0.5,0,0.32,0.03,0,0.2,0,0.03,1.35,0.34,0.69,0.35,0.14,0,0.64,0.14,0,0,0.03,0.74,0.24,0.19,0.1,0.4,0.21,0,0.38,3.11,0.07,0.04,1.21,1.92,0,0.25,0.07,5.22,0.38,0.01,3.36,0.19,2.42,0.06,0,0,0
"15","GTEX-11DZ1-0008-SM-5QGR3",0,0,0.11,0,1.06,0.03,0,0,0.24,0,10.96,0.03,0,0.06,2.18,0,4.06,0,0.05,0,0.17,1.59,0.37,5.13,0.26,0,0.09,0,2.74,0.03,0.37,0.01,0.19,1.49,0.02,0.1,0,0,0.23,0.04,0.18,0.99,0.28,0,0.4,1.12,0.21,0.08,0.06,1.67,0,0,0,1.44,2.16,0.67,0,0.49,0.08,0,0.25,0,0,1.54,0.28,1,0.52,0.07,0,0.3,0.24,0,0.04,0.49,0.69,0.38,0.43,0.1,0.13,1.7,0.05,0.32,1.69,0.19,0.03,0.86,2.54,0,0.14,0.08,3.75,2.1,0.01,3.94,0.37,1.34,0.11,0.09,0,0
"16","GTEX-11EI6-0008-SM-5QGR7",0,0,0.11,0.03,0.63,0.06,0,0,0,0,9.8,0.03,0.47,0,2.08,0,1.83,0,0,0,0.23,0,0.15,5.09,0.35,0,0,0,4.23,0,0.21,0,0.11,0.63,0.08,0.05,0,0,0.04,0,0.06,0.08,0.11,0,0.32,0.13,0.26,0.5,0.03,1.15,0.17,0,0.01,1.98,6.77,2.86,0,0.07,0.04,0,0.17,0,0.04,0,0.25,0.36,0.6,0.39,0,0.75,0.16,0,0.12,0.1,0.23,0.05,0.01,0.24,0.1,0.24,0,0.25,2.37,0.38,0,0,2.43,0.2,0,0.02,6.4,0.86,0.03,6.31,0.21,0,0.02,0,0,0
"17","GTEX-11EMC-0008-SM-5Q5DR",0,0,0.9,0,2,0.15,0,0,0.1,0.04,10.52,0,0.01,0,1.28,0,5.67,0.04,0,0.04,0.5,0,0.22,5.88,0.05,0.09,0,0,1.03,0.04,0.44,0,0.03,1,0.01,0,0.01,0.04,0.12,0.06,0.04,0.07,0.25,0,0.19,0.57,0.14,0.08,0.05,2.57,0.57,0,0.02,1.25,1.77,0.53,0.08,0.56,0.08,0.03,0.14,0,0,1.16,0.27,0.34,0.39,0.35,0,0.71,0.08,0.03,0.16,0.5,0.12,0.03,0.07,0.06,0.24,1.03,0,0.09,0.75,0.74,0.02,0,2.93,0.17,0.17,0.01,2.52,0.48,0.02,8.7,0.27,0,0.13,0,0.04,0
"18","GTEX-11EQ8-0008-SM-5Q5DJ",0.13,0.01,0,0,0.52,0.1,0,0,0.23,0.02,6.58,0.02,0,0,3.5,0,6.92,0.11,0,0.05,0.37,0,0.16,5.24,0.08,0,0,0,0.94,0,0.08,0.01,0.07,0.68,0.04,0.03,0.01,0,0.13,0.03,0.1,0.18,0.13,0,0.05,0.17,0.07,0.3,0.04,1.81,0.33,0,0,0,4.46,0.21,0.25,0.08,0.02,0.01,0.12,0.03,0.01,0.37,0.46,0.12,0.18,0.34,0.21,0,0.1,0,0.08,0.35,0.06,0.11,0.13,0.7,0.36,0.03,0.18,0.12,1.67,0.05,0.03,1.09,1.63,0.1,0.12,0,1.77,0.02,0.02,2.62,0.2,0,0.17,0.09,0.06,0
"19","GTEX-11EQ9-0008-SM-5Q5DK",0,0.01,0.25,0.01,2.24,0.06,0.04,0,0.05,0.03,16.18,0,0,0,2.52,0,16.49,0.02,0,0.02,0.16,0,0.07,7.3,0.06,0.05,0,0,1.28,0.01,0.05,0,0.22,2.57,0.03,0.12,0.01,0,0.12,0.05,0.01,0.12,0.15,0,0.03,0.14,0.05,0.1,0.03,1.12,0.34,0,0,0,1.75,0.3,0.04,0.15,0.03,0,0.09,0.03,0,0.23,0.15,0.09,0.18,0.53,0.13,0,0.33,0.02,0.03,1.79,0.04,0.02,0.07,0.08,0.5,0.24,0.02,0.08,0.91,0.24,0.02,2.75,1.38,0.06,0.06,0.02,1.19,0.35,0.01,0.26,0.2,0.17,0.07,0.07,0.02,0
"20","GTEX-11GS4-0008-SM-5QGRA",0,0.01,0,0.07,0.43,0.12,0,0,0.05,0,12.41,0,0,0,2,0,4.97,0.09,0,0.03,0.27,1.3,0.23,5.6,0.08,0.05,0,0,1.71,0.01,0.39,0,0.04,1.05,0.23,0.08,0.02,0,0.11,0.07,0.02,0.04,0.09,0,0.2,0.24,0.28,0.35,0.17,1.68,0,0,0.02,0.71,5.3,0.57,0,0.04,0.03,0,0.14,0,0.02,0.78,0.47,0.33,0.37,0.11,0,0.5,0.07,0,0.03,0.2,0,0,0.13,0.12,0.49,0.04,0,0.21,3.52,0.26,0,0,2.41,0.12,0.04,0,1.78,1,0,5.1,0.09,0,0.05,0,0.05,0
"21","GTEX-11GSP-0008-SM-5Q5DM",0,0,0.96,0.13,0.79,0.12,0,0,0.12,0.06,11.28,0,0,0,1.84,0,3.47,0.37,0,0.03,0.43,0,0.13,5.12,0.05,0.04,0.02,0,1.61,0.02,0.31,0,0.14,1.27,0.02,0.03,0,0.04,0.04,0.04,0.09,0.07,0.15,0,0.16,0.79,0.15,0.18,0.06,1.73,0.91,0,0,0.57,1.9,0.69,0,0.18,0.1,0,0.17,0,0.01,0.51,0.05,0.3,0.54,0.52,0,0.1,0,0.03,0.05,0.62,0.15,0.03,0.11,0.06,0.27,0.29,0,0.11,1.17,0.22,0,0.57,3.77,0.27,0.16,0.05,5.05,0.14,0,3.16,0.28,0.97,0.12,0.06,0,0
