"","Gene","ES_MeanTPM","IPS_MeanTPM","ES_Log2","IPS_Log2","Log2FoldChange","ABSV_Log2"
"1","MT.ATP8",0.363,11572.1437575758,-1.46195854666634,13.4983685302467,14.960327076913,14.960327076913
"2","C12orf77",0.001,10.6956060606061,-9.96578428466209,3.41894632922368,13.3847306138858,13.3847306138858
"3","PSG2",0.00133333333333333,11.7718484848485,-9.55074678538324,3.55726897350797,13.1080157588912,13.1080157588912
"4","MTRNR2L1",0.0656666666666667,552.218181818182,-3.92869496592687,9.10909457930718,13.037789545234,13.037789545234
"5","ACSM2A",0.000666666666666667,3.17993939393939,-10.5507467853832,1.66899926963029,12.2197460550135,12.2197460550135
"6","AC140481.1",34.6323333333333,0.00733333333333333,5.1140476864371,-7.09131516674595,-12.205362853183,12.205362853183
"7","FUT3",0.085,291.983484848485,-3.55639334852439,8.18974295956149,11.7461363080859,11.7461363080859
"8","RP11.113I24.1",0.000666666666666667,2.22406060606061,-10.5507467853832,1.15319610230231,11.7039428876856,11.7039428876856
"9","RPL17P43",419.731666666667,0.133151515151515,8.71332350127006,-2.90885924959726,-11.6221827508673,11.6221827508673
"10","RP11.193H22.2",0.001,2.66315151515152,-9.96578428466209,1.41313451038835,11.3789187950504,11.3789187950504
"11","MTRNR2L4",0.026,58.4533333333333,-5.265344566521,5.86921339246465,11.1345579589856,11.1345579589856
"12","OR2C3",0.002,4.36184848484849,-8.96578428466209,2.12493965673836,11.0907239414004,11.0907239414004
"13","RPS2P46",0.157,324.961939393939,-2.67116353577046,8.34412694464474,11.0152904804152,11.0152904804152
"14","SLFN12L",0.001,2.05660606060606,-9.96578428466209,1.04026547454427,11.0060497592064,11.0060497592064
"15","USP29",0.000333333333333333,0.62430303030303,-11.5507467853832,-0.679681626381851,10.8710651590014,10.8710651590014
"16","AC093734.1",0.984,0.000636363636363636,-0.0232697793228472,-10.6178609812418,-10.5945912019189,10.5945912019189
"17","ACSM2B",0.00333333333333333,4.42633333333333,-8.22881869049588,2.14611210008584,10.3749307905817,10.3749307905817
"18","RP11.749H20.3",0.005,6.17969696969697,-7.64385618977472,2.62753609524387,10.2713922850186,10.2713922850186
"19","RP5.857K21.7",6825.209,6.00921212121212,12.7366575092509,2.58717584895107,-10.1494816602998,10.1494816602998
"20","AC006509.7",0.0126666666666667,13.4247272727273,-6.30281927193966,3.74682087462278,10.0496401465624,10.0496401465624
"21","RP11.693N9.2",0.00133333333333333,1.37706060606061,-9.55074678538324,0.461592055579612,10.0123388409629,10.0123388409629
"22","RP11.179H18.8",0.336,0.000393939393939394,-1.57346686188333,-11.3097386858794,-9.73627182399612,9.73627182399612
"23","LL22NC03.63E9.3",0.000333333333333333,0.278848484848485,-11.5507467853832,-1.8424466629173,9.70830012246595,9.70830012246595
"24","KIR3DX1",0.00133333333333333,1.11184848484848,-9.55074678538324,0.15296020078532,9.70370698616856,9.70370698616856
"25","RP11.583M2.2",0.004,3.28409090909091,-7.96578428466209,1.71549406386338,9.68127834852547,9.68127834852547
"26","INSL6",0.00266666666666667,2.05142424242424,-8.55074678538324,1.03662587755634,9.58737266293959,9.58737266293959
"27","ENO1P4",0.682666666666667,0.000909090909090909,-0.550746785383243,-10.103287808412,-9.55254102302878,9.55254102302878
"28","AMY1A",0.000333333333333333,0.237151515151515,-11.5507467853832,-2.07611900911975,9.4746277762635,9.4746277762635
"29","CEACAM5",0.000666666666666667,0.470727272727273,-10.5507467853832,-1.08703665339927,9.46371013198397,9.46371013198397
"30","Z73979.1",0.0263333333333333,18.3220606060606,-5.24696603720614,4.19550986136632,9.44247589857246,9.44247589857246
"31","FFAR2",0.003,1.98551515151515,-8.38082178394093,0.98951337014587,9.3703351540868,9.3703351540868
"32","RLIMP2",0.38,0.000575757575757576,-1.39592867633114,-10.762250890577,-9.36632221424582,9.36632221424582
"33","AC103801.1",0.00266666666666667,1.69630303030303,-8.55074678538324,0.762393918287785,9.31314070367103,9.31314070367103
"34","RP5.857K21.11",6393.061,10.0968181818182,12.6422911441816,3.33582882187205,-9.30646232230952,9.30646232230952
"35","AC005831.1",0.006,3.49157575757576,-7.38082178394093,1.80387827556997,9.1847000595109,9.1847000595109
"36","KRT8P22",0.481666666666667,0.000848484848484849,-1.0538930079952,-10.2028234819629,-9.14893047396773,9.14893047396773
"37","RP11.750B16.1",97.0666666666667,0.173242424242424,6.60090404459018,-2.52913582908679,-9.13003987367696,9.13003987367696
"38","RP11.484L7.2",0.003,1.63293939393939,-8.38082178394093,0.707471246695293,9.08829303063622,9.08829303063622
"39","RP11.403P13.1",0.00233333333333333,1.17736363636364,-8.74339186332564,0.235559974883226,8.97895183820886,8.97895183820886
"40","C17orf77",0.000666666666666667,0.331454545454545,-10.5507467853832,-1.59311705726025,8.95762972812299,8.95762972812299
"41","PDILT",0.000666666666666667,0.324515151515152,-10.5507467853832,-1.6236422560914,8.92710452929184,8.92710452929184
"42","AL163952.1",0.0223333333333333,10.5192424242424,-5.48465759492547,3.39495890311608,8.87961649804155,8.87961649804155
"43","KLRC1",0.00366666666666667,1.65666666666667,-8.09131516674595,0.728283351066405,8.81959851781235,8.81959851781235
"44","Z95704.2",2.10066666666667,0.00466666666666667,1.0708472536343,-7.74339186332564,-8.81423911695994,8.81423911695994
"45","FCRL2",0.000666666666666667,0.298666666666667,-10.5507467853832,-1.74339186332564,8.8073549220576,8.8073549220576
"46","GPR112",0.000333333333333333,0.146424242424242,-11.5507467853832,-2.77177366469546,8.77897312068778,8.77897312068778
"47","PSMC1P5",30.928,0.0714545454545455,4.95084163754915,-3.80683040104078,-8.75767203858993,8.75767203858993
"48","ZBP1",0.00433333333333333,1.86233333333333,-7.85030706724215,0.897111319570785,8.74741838681294,8.74741838681294
"49","SULT1B1",0.00533333333333333,2.28121212121212,-7.55074678538324,1.18980060359536,8.7405473889786,8.7405473889786
"50","C2orf61",0.0576666666666667,24.3173939393939,-4.11611855774652,4.60391672037244,8.72003527811896,8.72003527811896
"51","RP11.113D6.10",0.00566666666666667,2.20378787878788,-7.4632839441329,1.13998536685449,8.6032693109874,8.6032693109874
"52","MTND4P12",492.241,1.26854545454545,8.9432210183006,0.343175215004864,-8.60004580329574,8.60004580329574
