Gene name,Gene stable ID
HMGA1,ENSG00000137309
LIN28A,ENSG00000131914
TERF1,ENSG00000147601
ZFP42,ENSG00000179059
ZSCAN10,ENSG00000130182
HMGA2,ENSG00000149948
SALL4,ENSG00000101115
OTX2,ENSG00000165588
ETV4,ENSG00000175832
NR6A1,ENSG00000148200
LIN28B,ENSG00000187772
HES3,ENSG00000173673
ZIC3,ENSG00000156925
NANOG,ENSG00000111704
ZNF93,ENSG00000184635
FOXH1,ENSG00000160973
MYCN,ENSG00000134323
ZNF730,ENSG00000183850
PRDM14,ENSG00000147596
SOX11,ENSG00000176887
