,HMGA1,LIN28A,TERF1,ZFP42,ZSCAN10,HMGA2,SALL4,OTX2,ETV4,NR6A1,LIN28B,HES3,ZIC3,NANOG,ZNF93,FOXH1,MYCN,ZNF730,PRDM14,SOX11,label
252,1622.7,658.85,534.34,84.11,172.95999999999995,83.59,79.67000000000002,60.95,81.97999999999998,84.73,80.13,107.38,111.16,72.41,58.540000000000006,60.73,57.96,41.69,34.7,25.78,1
641,48.07,0.0,16.1,0.0,0.0,0.07,0.13,0.0,0.51,0.58,0.01,0.0,0.0,0.01,0.46,0.02,0.22,0.16,0.0,0.0,0
562,24.3,0.0,10.0,0.0,0.0,0.01,0.14,3.28,0.43,1.29,0.21,0.0,1.27,0.01,0.82,0.07,2.82,0.45,0.01,1.45,0
370,135.1,0.0,13.54,0.09,0.08,0.07,0.16,0.0,6.08,3.18,0.0,0.0,0.06,0.01,1.06,0.23,0.23,0.0,0.0,0.0,0
109,1898.57,1061.15,657.78,124.06,132.91,111.21,110.08,126.83,70.81,83.69,89.49,81.59,88.75,45.14,69.22,67.46000000000001,53.48,48.59,37.32,25.08,1
13,1588.4899999999998,975.34,568.0500000000002,122.83,90.78,80.71000000000002,116.8,189.94000000000003,25.3,41.28,67.78,180.48,115.41,83.69000000000003,54.66,85.85,48.97,31.86,40.79,21.85,1
92,1683.6699999999996,743.99,719.3500000000001,132.14,137.74,117.0,73.41,37.38,92.82,90.5,67.74,18.2,41.64,70.06,57.47,41.01,70.07,37.82,22.76,24.45,1
190,1824.11,576.51,449.51,104.43,137.9,114.49,63.23,39.31,102.94,80.9,49.08,14.25,21.67,79.39,23.51,29.31,56.94,24.56,23.880000000000006,17.43,1
74,1603.47,761.01,773.21,129.66,135.96,91.09,64.47,7.94,165.05,44.08,84.81,59.15,66.75,303.47,54.05,88.38,36.32,45.03,35.28,34.04,1
568,26.22,0.0,23.45,0.0,0.02,0.04,0.02,0.0,1.39,1.21,0.02,0.0,0.0,0.0,1.07,0.21,0.42,0.18,0.0,0.0,0
