,HMGA1,LIN28A,TERF1,ZFP42,ZSCAN10,HMGA2,SALL4,OTX2,ETV4,NR6A1,LIN28B,HES3,ZIC3,NANOG,ZNF93,FOXH1,MYCN,ZNF730,PRDM14,SOX11
52,1557.13,1011.79,612.01,113.92,103.88,129.41999999999996,101.37999999999998,161.33,58.81,83.99000000000002,94.09,107.74,85.14,54.38,61.67,62.7,50.36,42.41,35.2,46.68
53,1585.93,710.0600000000002,410.38999999999993,110.21,112.01999999999998,59.87000000000001,83.94,87.33999999999997,56.56,60.85,35.54,62.23,36.48,45.92,57.81,99.32,44.94,37.18,39.99,22.84
54,1731.4799999999998,644.31,685.0799999999998,157.01999999999995,182.51,96.31999999999998,79.63,52.8,98.57,71.59,60.46,57.57,49.0,92.17,51.97000000000001,33.52,93.43,25.12,25.4,19.79
55,1627.29,505.45,391.02,107.19,124.07,152.95000000000005,76.3,80.07000000000002,113.64,109.68,58.76,46.32,21.2,52.47,57.02,54.82,51.22,42.72000000000001,13.86,29.22
56,1783.5400000000004,501.25,267.05999999999995,64.97999999999999,90.31,148.93,59.88,37.02,129.19,93.07,63.19,33.81,24.53,52.87,52.79,44.19,40.4,47.27,13.3,56.49
57,1701.01,593.8,478.09,95.64,123.86,62.76999999999999,68.03,20.110000000000007,104.59,82.16,42.43,40.83,19.94,90.52,61.53,57.44,52.03,33.89,19.790000000000006,11.27
58,1537.8700000000006,1201.17,840.87,141.51999999999995,155.55,116.03,151.75,225.65,44.44,61.06,103.45,165.83,140.12,48.73,82.09,90.32,62.25,53.35,83.15,42.36
59,1754.3200000000004,987.91,779.7400000000001,137.22,98.81,142.67000000000004,128.19,198.96,35.44,113.22,108.17,111.81,89.85,93.46,67.25,60.90000000000001,56.55,42.25,55.38,43.19
60,1866.05,877.76,819.92,104.11,89.39,115.44,97.47999999999998,144.11,49.39999999999999,63.31,73.92,80.17,65.88,53.79999999999999,57.25,51.18000000000001,47.62,31.88,50.24,46.11
61,1445.16,1106.86,784.9599999999998,125.67,107.36,112.27,101.09,192.36000000000004,46.73000000000001,58.32,77.95,120.02,75.88,32.69,60.73,78.26,63.48,37.4,38.07,17.5
62,1618.94,825.58,658.6199999999999,129.39,101.03,120.86,78.89,80.35000000000002,85.47,75.61999999999998,74.16,38.81,43.2,33.309999999999995,53.99,42.25,56.59,47.05,24.73,33.96
63,1471.66,776.13,620.4399999999998,99.77,156.02,110.43,84.62,41.39,96.54,111.64,76.63,52.56,90.8,63.29999999999999,54.95,39.85,64.63,29.49,16.950000000000006,32.13
64,1649.4,943.63,680.62,137.95999999999998,89.91000000000003,104.25,103.56,169.99,35.02,64.98,109.99,114.21,125.53,76.41000000000003,72.38,59.87000000000001,52.25,42.33000000000001,47.01,34.1
65,1869.64,1101.93,921.61,109.64,123.88,96.48999999999998,112.77,113.31,82.97999999999998,96.62000000000002,90.28,89.22,190.44,55.12000000000001,62.81,73.06,62.08,37.37000000000001,42.6,32.36
66,1719.55,1120.16,917.8,123.87,104.0,105.03,101.21,119.05,60.99,87.47,110.69,88.68,106.83,69.08,60.98,70.69,53.49,41.42,51.68,34.9
67,1757.1,769.35,653.05,76.16,127.86,58.35999999999999,72.36000000000001,19.7,89.48000000000002,43.09,57.59,66.75,76.97999999999998,98.1,42.51,65.33,40.57,12.090000000000002,20.88,11.81
68,1649.39,615.53,666.5400000000002,110.99,124.83,102.93,59.18,8.899999999999997,135.25,47.23,84.52,37.6,52.93,225.68,61.75,63.96,31.14,35.18,32.75,30.08
69,1587.27,1044.94,662.1000000000001,126.73,83.93999999999998,111.35,112.41,177.75999999999996,34.46,80.75,117.38,126.61,116.01,69.33000000000001,71.73,62.34,51.11,45.06,47.76,41.36
70,1498.2,783.3199999999998,496.43000000000006,70.19,121.5,121.75,70.95,53.91,104.97,111.05,78.52,34.76,30.270000000000003,49.65000000000001,74.57,45.71,50.26,56.31,12.82,33.02
71,1598.12,819.66,611.3100000000002,112.33,154.92999999999995,82.22999999999998,61.95,18.58,168.95000000000005,33.78,69.35,92.89,69.15,221.64,55.8,111.82,43.32,42.22,40.99,29.77
72,1680.11,779.26,788.95,126.15,128.56,101.71,58.8,44.99,106.84,64.71,46.53,42.59,41.3,53.12000000000001,49.61,54.81,57.79,23.96,18.38,21.51
73,1905.81,640.39,749.72,156.47,137.19,68.57000000000001,98.7,24.8,149.31,69.48,70.48,27.73,38.790000000000006,149.86,65.65,65.85,43.43,0.52,43.42,17.02
74,1603.47,761.01,773.21,129.66,135.96,91.09,64.47,7.94,165.05,44.08,84.81,59.15,66.75,303.47,54.05,88.38,36.32,45.03,35.28,34.04
75,920.16,439.07000000000005,452.06,129.54,52.38999999999999,40.290000000000006,37.28,80.27999999999999,26.32,18.16,26.99,46.21,27.44,57.5,59.74,38.59,30.13,21.82,15.25,6.95
76,1518.61,885.14,705.6600000000002,127.46,122.25,145.07999999999996,83.42999999999998,89.11,83.84,93.31,91.77,61.34,60.77,63.98,71.28999999999998,49.22,46.79,52.38,22.82,34.12
77,1802.11,788.3799999999999,822.65,135.85,119.94,112.46999999999996,71.99000000000002,52.67,83.92,87.06,75.16,46.54,48.35,70.88,57.54,60.91,64.6,36.2,20.71,25.95
78,1695.45,515.22,281.51,60.53,155.32999999999996,130.23000000000002,50.59,48.76,101.23,91.9,41.78,56.51,20.24,29.84,45.14,40.27,49.48,29.860000000000007,9.5,25.26
79,1834.96,590.7,444.29,116.52,184.31,123.09,66.76,22.16,135.45,85.86,64.38,37.05,21.31,82.96,56.21,59.17999999999999,69.5,31.290000000000006,20.28,17.1
80,1641.5700000000004,784.74,796.3799999999999,148.73000000000005,161.23000000000005,123.81000000000002,76.67999999999998,38.27,102.82999999999998,97.94,74.45,39.13,43.23,53.85,56.22,46.92,56.35,35.4,21.46,23.26
81,1574.85,716.0,393.69,103.31,78.53000000000002,75.59,71.71000000000002,101.87,64.61,68.29999999999998,53.2,55.25,37.14,42.38,58.94,42.98,50.88,30.4,17.57,22.38
82,1345.2,601.61,906.02,79.52,139.59,201.1,57.63000000000001,21.23,194.98,72.74999999999999,116.76,89.51,52.2,238.63,64.3,75.67,39.98,57.56,30.49,49.4
83,1798.4699999999998,891.8900000000001,531.3599999999999,133.78,102.65999999999998,135.49,86.59,97.49,79.64000000000001,96.26,82.82,87.65,55.16,43.28,63.7,61.2,60.71,47.11,28.19,33.54
84,1418.25,897.76,577.74,53.40000000000001,127.46,146.67,89.61999999999998,133.31,106.94,92.65,109.76,187.61,120.05,142.57,58.91,80.46,52.93,33.19,33.43,69.08
85,1707.87,957.51,1078.4500000000003,154.65,114.19,94.28,95.90000000000002,156.40999999999997,44.38,65.45,93.15,54.53,100.56,58.61,64.69,94.58,51.62,36.27,56.21,31.64
86,1635.1299999999994,790.51,853.5400000000002,139.07999999999998,179.29999999999995,140.07,86.78,88.42999999999998,79.32,90.67000000000002,91.59,75.52,46.96,75.43,69.63,53.75,55.77,47.23,22.9,25.02
87,1381.85,668.48,458.80999999999983,53.58,102.66,92.23,98.54999999999998,196.86,29.57,69.32,45.37,78.25,181.29,64.6,1.7400000000000002,57.14,66.84,17.28,128.72,22.49
88,1901.12,970.17,1001.83,160.39,127.7,151.11999999999995,111.03,148.29999999999995,50.55,80.16999999999999,101.5,79.48,87.18,72.46999999999998,75.24000000000002,63.59,53.09,44.21,63.83,24.17
89,1545.9,698.15,667.11,94.29,165.72000000000003,113.25,70.78,38.19,99.43,87.65,65.15,45.86,20.28,42.09,57.93,41.62,51.18,39.74,15.95,28.18
90,1679.55,974.0,719.33,132.75,117.29,108.23,99.83,115.63,69.58,80.37,75.3,79.74,86.0,59.28,60.82,56.71,56.02,52.53,34.02,32.52
91,1683.1699999999996,879.94,508.22,112.98,113.02,149.72,104.58,122.19,61.80999999999999,110.91,88.01,92.32,48.28,37.04,67.9,51.75,53.81,51.2,29.16,57.36
92,1683.6699999999996,743.99,719.3500000000001,132.14,137.74,117.0,73.41,37.38,92.82,90.5,67.74,18.2,41.64,70.06,57.47,41.01,70.07,37.82,22.76,24.45
