ENSG00000156508
ENSG00000181163
ENSG00000187514
ENSG00000205542
ENSG00000135486
ENSG00000133112
ENSG00000196262
ENSG00000164265
ENSG00000070756
ENSG00000204628
ENSG00000096384
ENSG00000196531
ENSG00000123416
ENSG00000137309
ENSG00000115053
ENSG00000122566
ENSG00000119335
ENSG00000094755
ENSG00000187109
ENSG00000092199
