,HMGA1,LIN28A,TERF1,ZFP42,ZSCAN10,HMGA2,SALL4,OTX2,ETV4,NR6A1,LIN28B,HES3,ZIC3,NANOG,ZNF93,FOXH1,MYCN,ZNF730,PRDM14,SOX11,label
84,49.58,0.0,11.32,0.0,0.0,0.0,0.1,0.07,0.83,1.05,0.23,0.13,0.4,0.0,0.55,0.21,2.59,0.12,0.0,1.48,0
5,75.12,0.09,6.86,0.0,0.03,0.86,0.91,0.01,3.85,5.7,0.0,0.0,0.0,0.02,0.77,2.2,1.47,0.13,0.0,0.02,0
129,40.25,0.03,21.0,0.0,0.37,0.0,1.22,20.63,0.67,4.08,0.0,0.0,23.63,0.01,0.71,0.48,1.14,0.14,0.0,0.22,0
344,127.6,0.09,16.84,0.0,0.08,0.24,2.14,0.0,2.51,1.57,0.0,0.0,0.0,0.08,2.73,0.52,0.78,0.23,0.0,1.55,0
488,1113.22,419.95,143.26999999999995,77.06,66.38000000000001,94.3,52.72,41.19000000000001,30.4,47.51,27.4,54.68,88.78,59.54,27.07,56.06,53.1,10.78,38.84,24.0,1
672,1471.3100000000004,879.14,540.47,49.49,109.79,95.92,106.31,59.15000000000001,72.96000000000002,67.38,84.76,78.16,85.22,78.09,49.31999999999999,62.95,58.09,36.16,44.03,21.05,1
365,159.0,0.0,8.54,0.0,0.12,0.02,0.28,0.0,5.57,2.85,0.0,0.0,0.02,0.0,0.65,0.1,0.1,0.03,0.0,0.0,0
246,16.18,0.03,19.97,0.0,0.08,0.07,1.15,0.0,3.16,5.47,0.0,0.0,0.0,0.02,3.0,0.24,1.95,1.52,0.0,0.07,0
663,1547.7800000000002,706.73,485.9,95.18,141.99999999999997,124.35,62.41,54.14,149.88,51.14000000000001,86.53,225.24,90.93,203.67,49.68000000000001,109.87,45.12,34.919999999999995,42.89,32.62,1
187,50.87,0.01,16.12,0.0,0.01,0.03,0.12,0.17,1.15,1.57,0.51,0.0,0.57,0.02,0.49,0.39,2.77,0.12,0.0,3.33,0
253,84.83,0.01,11.19,0.0,0.02,0.11,0.09,0.0,2.43,0.87,0.0,0.0,0.11,0.02,0.89,0.55,3.84,0.05,0.0,0.05,0
662,1787.7299999999998,689.82,607.73,123.8,163.88000000000005,71.01,79.60999999999999,48.27,78.35000000000002,43.12000000000001,57.01,94.08,80.24,58.63000000000001,52.3,66.69,44.96,25.98,33.22,12.35,1
619,2024.77,472.28,155.52,35.3,103.0,52.24,26.57,20.43,171.68,62.3,17.95,22.18,29.79,45.35,2.06,55.61,33.77,6.749999999999999,6.5,12.14,1
332,249.7,0.01,12.21,0.0,0.0,0.51,0.38,0.0,10.31,2.87,0.0,0.0,0.0,0.02,1.26,0.88,2.39,0.09,0.0,0.02,0
137,39.2,0.0,13.26,0.0,0.14,0.0,2.55,0.03,5.11,2.94,0.0,0.0,0.0,0.03,1.21,0.24,16.43,0.05,0.0,0.04,0
614,1752.31,1005.31,699.6800000000003,134.73,108.54,127.57,102.31,136.44000000000003,65.38,79.9,89.58,111.74,106.41,59.46,61.27,59.03,65.61,45.28,33.32,33.54,1
627,1723.81,896.5600000000002,801.7899999999997,143.73000000000005,137.16,91.04,116.07999999999998,97.15,75.63,84.13000000000002,88.31,86.7,80.92999999999998,54.19,73.97,72.21,51.27,46.89,44.17,29.97,1
518,1680.7100000000007,882.3799999999999,792.2500000000001,136.05,125.85,114.63,84.35000000000002,48.98,91.29,69.99,75.53,51.82,73.42,77.78,72.13000000000002,55.42,48.12,18.630000000000006,34.47,22.23,1
423,1557.13,1011.79,612.01,113.92,103.88,129.41999999999996,101.37999999999998,161.33,58.81,83.99000000000002,94.09,107.74,85.14,54.38,61.67,62.7,50.36,42.41,35.2,46.68,1
392,1819.19,993.13,634.9100000000002,136.73000000000002,114.59999999999998,124.81000000000002,99.59,130.59,68.71000000000001,94.81,98.9,100.49,82.0,64.7,69.97,50.97,59.01,55.33000000000001,35.46,39.62,1
273,74.93,0.02,19.06,0.0,0.01,0.01,0.43,0.0,5.02,2.91,0.0,0.0,0.0,0.01,2.5,0.96,1.07,0.01,0.0,0.01,0
475,1464.66,927.07,808.9200000000002,131.56,123.36,114.16,88.94,129.35,67.68,58.45,56.58,123.29,156.67,48.09,60.25,67.75,65.73,44.11,22.09,45.76,1
318,40.77,0.0,9.38,0.0,0.04,0.01,0.84,0.0,2.17,0.85,0.0,0.0,0.0,0.01,1.3,0.31,1.56,0.06,0.0,0.0,0
265,117.2,11.83,15.97,5.0,0.32,0.94,9.18,0.53,1.3,40.65,4.04,0.0,0.56,0.19,3.64,1.17,5.65,4.57,0.58,0.06,0
669,1916.22,887.97,667.8900000000001,64.15,107.21999999999998,131.48,85.57,102.02,83.83999999999997,109.06,84.72,117.5,65.99,54.01000000000001,58.19,54.92,75.3,47.1,46.58000000000001,38.94,1
465,1836.4700000000007,801.27,530.4099999999999,120.83,139.47000000000003,97.51,70.11,47.89000000000001,99.28,80.65,61.48,39.58,52.38,91.18,56.12,48.88,66.26,22.26,23.45,20.44,1
166,67.67,0.01,14.84,0.0,0.04,0.0,0.09,0.02,0.34,1.55,0.14,0.0,0.52,0.0,0.77,0.39,5.79,0.1,0.0,1.8,0
339,25.38,0.0,25.13,0.0,0.03,0.05,0.42,1.72,0.6,1.62,0.17,0.06,3.11,0.01,0.88,0.1,5.41,0.59,0.0,1.75,0
396,1580.6899999999996,533.69,336.74,49.28,152.52000000000004,127.7,56.23000000000001,24.83,116.83,100.86,44.93,20.61,17.23,49.6,39.24,36.48,49.53,40.75,9.96,19.85,1
248,19.76,0.0,30.16,0.0,0.07,0.1,0.04,0.0,2.58,0.91,0.0,0.0,0.0,0.09,2.2,0.16,0.56,0.45,0.0,0.05,0
