,HMGA1,LIN28A,TERF1,ZFP42,ZSCAN10,HMGA2,SALL4,OTX2,ETV4,NR6A1,LIN28B,HES3,ZIC3,NANOG,ZNF93,FOXH1,MYCN,ZNF730,PRDM14,SOX11,label
332,1357.84,598.87,600.1700000000002,80.08,167.9,84.11999999999998,70.94999999999997,33.57,87.27000000000002,57.4,36.87,40.32,17.07,89.99000000000002,59.64,54.92999999999999,35.56,39.42,16.93,14.31,1
400,1679.14,705.3100000000002,529.7800000000002,135.28,103.47,82.08,71.28,79.22999999999998,73.56,60.91,68.09,68.11,41.97,108.48,60.94,43.81,58.04,24.71,40.22,21.43,1
257,1550.54,853.59,712.5000000000001,114.8,83.15,137.42,112.07,186.98,35.35,78.25,95.98,89.35,68.28,77.05000000000003,69.94,52.7,50.87,47.12,34.07,19.48,1
217,1113.22,419.95,143.26999999999995,77.06,66.38000000000001,94.3,52.72,41.19000000000001,30.4,47.51,27.4,54.68,88.78,59.54,27.07,56.06,53.1,10.78,38.84,24.0,1
183,1798.4699999999998,891.8900000000001,531.3599999999999,133.78,102.65999999999998,135.49,86.59,97.49,79.64000000000001,96.26,82.82,87.65,55.16,43.28,63.7,61.2,60.71,47.11,28.19,33.54,1
333,1591.16,743.1,495.99,111.46,92.3,83.5,62.21,104.43,49.28,45.16,67.25,91.17,87.48,52.88999999999999,61.15,43.62,56.84,32.57,30.45,20.93,1
398,1916.22,887.97,667.8900000000001,64.15,107.21999999999998,131.48,85.57,102.02,83.83999999999997,109.06,84.72,117.5,65.99,54.01000000000001,58.19,54.92,75.3,47.1,46.58000000000001,38.94,1
224,2061.61,959.97,425.44,148.3,181.49,84.47000000000001,98.26,61.09,113.10000000000002,145.31,45.84,38.65,32.1,108.86,79.09,65.50999999999999,68.58,30.22,27.35,20.28,1
395,1783.4000000000005,488.68,304.85,33.61,134.49,100.25,44.58000000000001,24.200000000000006,148.64,94.54,38.34,31.47,15.5,38.37000000000001,18.69,30.78,53.32,34.29,10.24,21.4,1
429,1728.2900000000004,849.24,1053.4199999999996,179.44,179.76999999999995,101.8,98.64,47.90000000000001,117.58,82.27,114.14,41.52,52.05,101.85,85.93,48.04,83.56,39.57,48.3,22.01,1
402,2053.96,833.03,852.69,157.4,175.75,122.82999999999996,101.81999999999998,96.39,79.75,136.33,79.48,48.4,40.79,89.14,73.28999999999998,63.21,61.96,51.27,35.23999999999999,24.76,1
405,2050.29,865.23,710.7699999999999,197.43,238.27,83.81000000000002,90.16,33.64,129.76000000000002,53.51,73.79,59.71,73.33,111.32,56.43000000000001,84.11,105.04,17.16,44.84,16.84,1
377,2218.94,897.21,383.44000000000005,126.76,146.97,78.01,91.69,76.58000000000001,83.25000000000001,57.58,61.46,145.47,132.15,52.93,56.36,71.89,68.9,26.18,25.07,23.56,1
358,1564.7600000000002,831.76,558.6999999999998,120.22,122.7,84.85,88.92,101.82,71.00999999999998,54.48,46.11,107.01,77.33,35.37000000000001,62.37000000000001,60.43,57.18,48.65,29.42,28.86,1
410,1713.3599999999994,980.83,712.43,142.76,114.82,138.35,86.38999999999999,99.05,85.94,110.83,92.11,76.9,49.58,66.81,64.14,57.2,56.75,40.89000000000001,22.45,35.75,1
30,326.1,0.0,20.42,0.0,0.06,4.66,0.28,0.0,3.27,0.39,0.0,0.08,0.0,0.02,1.33,0.22,0.0,0.09,0.0,0.52,0
112,1749.53,801.94,637.19,94.01,125.9,115.29,71.46000000000002,37.3,89.68,96.59,58.75,37.02,47.17,54.23,52.79,34.53,49.73,39.38,18.94,23.14,1
